ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ arkipäivää,"/* Examples: 2-5 days, 7 days */"
%ldx%ld Collage,%ldx%ld-kollaasi,/* example: 5x7 Collage */
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Laatutakuu**\nTuotteemme ovat huippulaatuisia, ja olemme varmoja, että olet niihin tyytyväinen. Mikäli näin ei kuitenkaan ole, lupaamme rahat takaisin. Nauti tuotteistasi!",
1 day,1 päivä,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"401 Luvaton pyyntö -virhe kohteen latauksessa. Tarkista, että sisällytit pyyntöön valtuutusotsikon ja että antamasi valtuutustunnukset ovat oikein.",
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Sisäinen palvelinvirhe kohteen latauksessa. Yritä uudelleen.,
Add,Lisää,
Add %ld %@!,Lisää %ld %@!,
Add a %@!,Lisää %@!,
Add a photo\non this side,Lisää kuva\ntälle puolelle,/* this side [of the shirt] */
Add Address,Lisää osoite,
Add another %@!,Lisää toinen %@!,
Add Credit Card,Lisää luottokortti,
Add Credit Card (TEST),Lisää luottokortti (TESTI),
Add Credit/Debit Card,Lisää credit-/debit-kortti,
Add more,Lisää enemmän,/* Add more [photos] */
Add New Address,Lisää uusi osoite,
Add Payment Method,Lisää maksutapa,
Add Text,Lisää teksti,/* Add text on image */
Add to Basket,Lisää ostoskoriin,
Address Book,Osoitekirja,
All Photos,Kaikki valokuvat,
Alternatively type the following URL into your mobile browser's address bar,Voit myös kirjoittaa seuraavan URL-osoitteen mobiiliselaimesi osoitekenttään,
Are you sure you want to delete this item?,Haluatko varmasti poistaa tämän tuotteen?,/* Refers to a basket item */
Are you sure?,Oletko varma?,
Authorise,Valtuuta,
Back,Edellinen,
BACK,TAKAOSA,/* Back of the photo */
Back Image Is Too Small,Takana oleva kuva on liian pieni,
Basket is empty,Ostoskori on tyhjä,
Cancel,Peruuta,
Card Number,Kortin numero,
Checking Code,Tarkistetaan koodia,/* Checking promo code */
Checkout,Kassalle,
Checkout for Free!,Tilaa ilmaiseksi!,
Choose Address,Valitse osoite,
Choose Country,Valitse maa,
Choose Delivery Address,Valitse toimitusosoite,
Choose Photo,Valitse valokuva,
Choose Photos,Valitse valokuvat,
City,Kaupunki,
Clearing Code,NCC-tunnus,/* Clearing promo code */
cm,cm,/* Centimeters */
Completed Orders,Valmiit tilaukset,
Continue Shopping,Jatka tuotteiden selaamista,
County,Alue,
Create a %@ for\nonly %@ %@,Luo %@\nhintaan %@ %@,
Create a pack for\nonly %@ %@,Luo paketti\nhintaan %@ %@,
Create another %@ for\nonly %@ %@,Luo vielä yksi %@\nhintaan %@ %@,
Create another pack for\nonly %@ %@,Luo vielä yksi paketti\nhintaan %@ %@,
Create Image,Luo kuva,
Crop,Rajaa,/* Crop image */
CVV,CVV,/* The credit card security code */
Default,Oletus,
Delete Item,Poista tuote,/* Delete [basket item] */
Delivery Details,Toimitustiedot,
Description,Kuvaus,/* Product description */
Details,Tiedot,/* Product Details */
Discard Edits,Hylkää muutokset,
Do you want to log out of %@?,Haluatko kirjautua ulos palvelusta %@?,/* Log out of Instagram/Facebook */
Do you want to remove this photo?,Haluatko poistaa tämän valokuvan?,
Done,Valmis,
Edit,Muokkaa,/* Edit image */
Edit Address,Muokkaa osoitetta,
Email,Sähköposti,
End Session,Lopeta istunto,
Enter a valid card number,Anna kelvollinen kortin numero,
Enter a valid CVV number,Anna kelvollinen CVV-turvakoodi,/* The credit card security number */
